path,SMTInterpol,,Yices2,,Z3alpha,,cvc5,
,result,runtime,result,runtime,result,runtime,result,runtime
QF_NIA/20170427-VeryMax/ITS/From_AProVE_2014__juHashMapCreateContainsKey.jar-obl-11__p31114_safety_0.smt2,0,0.7637945869937539,1,0.6086112530902028,1,5.48949561198242,1,421.8006929999683
QF_NIA/20170427-VeryMax/ITS/From_AProVE_2014__juHashMapCreatePut.jar-obl-10__p6239_safety_0.smt2,0,0.7872903209645301,1,10.119737423025072,1,6.214390984969214,0,1201.7309973670635
QF_NIA/20170427-VeryMax/CInteger/Stroeder_15__ChenFlurMukhopadhyay-SAS2012-Ex2.06_false-termination.c__p21116_terminationG_0.smt2,0,0.46697931410744786,1,0.46446397178806365,1,1.8189335651695728,1,0.880231813993305
QF_NIA/20170427-VeryMax/ITS/From_T2__st88b-fail.t2__p24144_terminationG_0.smt2,0,0.47566792205907404,1,4.022213198011741,1,167.80251524411142,0,1201.739580981899
QF_NIA/20170427-VeryMax/ITS/From_T2__s1.t2__p19285_safety_0.smt2,0,0.8791469779098406,1,0.3121103700250387,1,5.00286748399958,1,1.903891223948449
QF_NIA/20170427-VeryMax/ITS/From_T2__Prim_4.t2__p7926_terminationG_0.smt2,0,1.5705639900406823,0,1201.2264823310543,1,689.6217240628321,1,882.0849669589661
QF_NIA/20170427-VeryMax/ITS/From_T2__rlft3.t2__p9072_terminationG_0.smt2,0,1.045297591947019,0,1201.228981937049,0,1180.0849654099438,0,1202.7493045090232
QF_NIA/20170427-VeryMax/ITS/From_T2__slayer-n5-filtered.t2__p23294_terminationG_0.smt2,0,0.8593611660180613,1,0.5587671960238367,1,11.97865238506347,1,35.94172827107832
QF_NIA/20230321-UltimateAutomizerSvcomp2023/divbin2.c_3.smt2,0,0.4534948020009324,0,1201.230923143914,0,1201.7172888061032,0,1201.72862751293
QF_NIA/20170427-VeryMax/ITS/From_AProVE_2014__Choose.jar-obl-8__p27803_terminationG_0.smt2,0,0.5061814800137654,1,0.6399954771623015,1,41.19871771894395,0,1201.718612930039
QF_NIA/20170427-VeryMax/ITS/From_AProVE_2014__juHashMapCreateContainsValue.jar-obl-11__p351_safety_0.smt2,0,0.8193144639953971,1,0.2958929259330034,1,35.043617252027616,0,1201.744872492971
QF_NIA/20170427-VeryMax/ITS/From_T2__mc91.t2__p2817_terminationG_0.smt2,0,0.7382138209650293,0,1201.2175351430196,0,1201.7149048650172,0,1201.7130041429773
QF_NIA/20170427-VeryMax/ITS/From_T2__rlft3.t2__p9117_terminationG_0.smt2,0,1.0202691400190815,0,1201.2433620160446,0,1045.53232380189,0,1202.2116017560475
QF_NIA/20170427-VeryMax/ITS/From_AProVE_2014__KnapsackDP.jar-obl-11__p9900_terminationG_0.smt2,0,1.733307591988705,0,1201.2189361359924,1,101.46981746517122,0,1201.71460320591
QF_NIA/20170427-VeryMax/ITS/From_AProVE_2014__juLinkedListCreateAddAllAt.jar-obl-17__p7811_safety_0.smt2,0,0.7458674239460379,1,0.34091359097510576,1,2.3094989007804543,1,2.749000177020207
QF_NIA/20170427-VeryMax/SAT14/1084.smt2,0,0.5451911570271477,1,0.22368117701262236,1,0.2843324418645352,1,0.24400927894748747
QF_NIA/20170427-VeryMax/ITS/From_T2__p-5.t2__p6867_edge_closing_0.smt2,0,1.2872941609239206,0,1201.228230718989,1,77.52080104011111,1,648.3899699100293
QF_NIA/20170427-VeryMax/CInteger/Stroeder_15__svcomp_ex2.c__p25963_terminationG_0.smt2,0,0.80650401301682,0,1201.216118057957,0,1201.7150662748609,0,1201.718171426095
QF_NIA/20170427-VeryMax/SAT14/230.smt2,0,0.6675308929989114,1,0.4548905431292951,1,0.33317930484190583,1,0.29837139090523124
QF_NIA/calypto/problem-002625.cvc.1.smt2,0,0.4356757360510528,1,0.2205444450955838,1,0.30117752589285374,1,0.2566765360534191
QF_NIA/20170427-VeryMax/ITS/From_T2__mc91.t2__p2886_terminationG_0.smt2,0,0.6812747269868851,1,2.042705199914053,1,1.839020464103669,1,421.945814576
